Date,Santander,BBVA,Telefonica,Inditex,Repsol
31/01/2017,4.85331583,6.275000095,8.925000191,30.53499985,13.65999985
28/02/2017,4.858028889,6.177999973,9.649000168,30.31999969,14
31/03/2017,5.415091038,7.269999981,10.48499966,33.04000092,14.47500038
30/04/2017,5.643194199,7.348999977,10.15499973,35.20999908,14.53499985
31/05/2017,5.4490242,7.251999855,9.913999557,36.39500046,14.91499996
30/06/2017,5.459392071,7.264999866,9.038000107,33.61000061,13.39999962
31/07/2017,5.533418179,7.651000023,9.56000042,33.59000015,14.15999985
31/08/2017,5.23154211,7.421999931,9.059000015,31.91500092,14.43000031
30/09/2017,5.660875797,7.56099987,9.192000389,31.88500023,15.59000015
31/10/2017,5.580376148,7.513000011,9.005999565,32.09500122,16.08499908
30/11/2017,5.407876015,7.18200016,8.604999542,29.73999977,15.42000008
31/12/2017,5.250709057,7.111999989,8.125,29.04500008,14.74499989
